[0. 0. 0]
Voltage_1 (1)	Current_1 (1)	Time Ch_1 (1)
-1.999700E-01	-1.716743E-03	+1.435547E-01
-1.929688E-01	-1.628249E-03	+2.851563E-01
-1.859626E-01	-1.594364E-03	+4.267578E-01
-1.789586E-01	-1.560045E-03	+5.673828E-01
-1.719557E-01	-1.524419E-03	+7.089844E-01
-1.649503E-01	-1.480282E-03	+8.505859E-01
-1.579450E-01	-1.441797E-03	+9.912109E-01
-1.509403E-01	-1.402738E-03	+1.131836E+00
-1.439356E-01	-1.368474E-03	+1.273438E+00
-1.369309E-01	-1.337663E-03	+1.415039E+00
-1.299263E-01	-1.308420E-03	+1.555664E+00
-1.229272E-01	-1.282463E-03	+1.696289E+00
-1.159316E-01	-1.259445E-03	+1.837891E+00
-1.089356E-01	-1.240489E-03	+1.978516E+00
-1.019381E-01	-1.217535E-03	+2.120117E+00
-9.494169E-02	-1.201165E-03	+2.261719E+00
-8.794260E-02	-1.183399E-03	+2.404297E+00
-8.094527E-02	-1.169019E-03	+2.544922E+00
-7.395090E-02	-1.154287E-03	+2.686523E+00
-6.695271E-02	-1.139272E-03	+2.835938E+00
-5.995768E-02	-1.123509E-03	+2.985352E+00
-5.296279E-02	-1.105656E-03	+3.126953E+00
-4.596633E-02	-1.078169E-03	+3.268555E+00
-3.896949E-02	-1.041828E-03	+3.418945E+00
-3.197526E-02	-1.026798E-03	+3.559570E+00
-2.497427E-02	-1.008907E-03	+3.700195E+00
-1.797582E-02	-1.000320E-03	+3.842773E+00
-1.099770E-02	-9.839634E-04	+4.073242E+00
-4.003888E-03	-9.666942E-04	+4.213867E+00
+2.920997E-03	-9.563878E-04	+4.354492E+00
+9.915153E-03	-9.459586E-04	+4.503906E+00
+1.691108E-02	-9.417064E-04	+4.646484E+00
+2.390929E-02	-9.374971E-04	+4.788086E+00
+3.090546E-02	-9.305055E-04	+4.928711E+00
+3.790350E-02	-9.260927E-04	+5.070313E+00
+4.489790E-02	-9.246729E-04	+5.212891E+00
+5.189402E-02	-9.216631E-04	+5.361328E+00
+5.889168E-02	-9.169283E-04	+5.510742E+00
+6.588652E-02	-9.156716E-04	+5.661133E+00
+7.288202E-02	-9.123111E-04	+5.801758E+00
+7.987829E-02	-9.096336E-04	+5.943359E+00
+8.687624E-02	-9.072250E-04	+6.083984E+00
+9.387115E-02	-9.055120E-04	+6.234375E+00
+1.008723E-01	-9.017568E-04	+6.375000E+00
+1.078707E-01	-8.984862E-04	+6.516602E+00
+1.148634E-01	-8.971927E-04	+6.657227E+00
+1.218621E-01	-8.951992E-04	+6.797852E+00
+1.288572E-01	-8.937097E-04	+6.940430E+00
+1.358609E-01	-8.933248E-04	+7.081055E+00
+1.428683E-01	-8.903480E-04	+7.222656E+00
+1.498745E-01	-9.010044E-04	+7.364258E+00
+1.568751E-01	-9.307588E-04	+7.504883E+00
+1.638832E-01	-9.333265E-04	+7.646484E+00
+1.708871E-01	-9.303990E-04	+7.787109E+00
+1.778906E-01	-9.296045E-04	+7.927734E+00
+1.848966E-01	-9.258798E-04	+8.077148E+00
+1.919006E-01	-9.242145E-04	+8.217773E+00
+1.988994E-01	-9.200122E-04	+8.360352E+00
+2.059063E-01	-9.173842E-04	+8.501953E+00
+2.129078E-01	-9.131483E-04	+8.643555E+00
+2.199130E-01	-9.117743E-04	+8.785156E+00
+2.269188E-01	-9.077463E-04	+8.926758E+00
+2.339234E-01	-9.054831E-04	+9.067383E+00
+2.409282E-01	-9.026335E-04	+9.209961E+00
+2.479318E-01	-8.995801E-04	+9.358398E+00
+2.549340E-01	-8.960289E-04	+9.499023E+00
+2.619385E-01	-8.946903E-04	+9.640625E+00
+2.689398E-01	-8.899182E-04	+9.782227E+00
+2.759357E-01	-8.873925E-04	+9.930664E+00
+2.829311E-01	-8.849230E-04	+1.007227E+01
+2.899294E-01	-8.824216E-04	+1.021289E+01
+2.969242E-01	-8.783786E-04	+1.035449E+01
+3.039256E-01	-8.760140E-04	+1.049609E+01
+3.109221E-01	-8.725341E-04	+1.064453E+01
+3.179155E-01	-8.688865E-04	+1.079492E+01
+3.249120E-01	-8.656260E-04	+1.094531E+01
+3.319049E-01	-8.631411E-04	+1.108594E+01
+3.389024E-01	-8.565196E-04	+1.122656E+01
+3.458994E-01	-8.457731E-04	+1.136816E+01
+3.528929E-01	-8.217980E-04	+1.151855E+01
+3.598886E-01	-7.960673E-04	+1.166797E+01
+3.668891E-01	-7.922282E-04	+1.181836E+01
+3.738875E-01	-7.880509E-04	+1.195996E+01
+3.808818E-01	-7.834067E-04	+1.210059E+01
+3.878785E-01	-7.773927E-04	+1.224121E+01
+3.948750E-01	-7.746808E-04	+1.239062E+01
+4.018720E-01	-5.682776E-04	+1.253223E+01
+4.088784E-01	-7.627762E-04	+1.267285E+01
+4.158803E-01	-7.608679E-04	+1.281445E+01
+4.228846E-01	-7.563843E-04	+1.296289E+01
+4.298905E-01	-7.511527E-04	+1.310449E+01
+4.368946E-01	-7.473795E-04	+1.324512E+01
+4.438682E-01	-7.409950E-04	+1.338574E+01
+4.508729E-01	-7.354661E-04	+1.353516E+01
+4.578757E-01	-7.311443E-04	+1.367676E+01
+4.648798E-01	-7.275993E-04	+1.381738E+01
+4.718826E-01	-7.196589E-04	+1.395898E+01
+4.788851E-01	-7.155755E-04	+1.410742E+01
+4.858888E-01	-7.103962E-04	+1.424902E+01
+4.928949E-01	-7.040204E-04	+1.439062E+01
+4.998977E-01	-6.986127E-04	+1.454004E+01
+5.069057E-01	-6.906657E-04	+1.468066E+01
+5.139104E-01	-6.829357E-04	+1.482227E+01
+5.209107E-01	-6.784225E-04	+1.496289E+01
+5.279160E-01	-6.688423E-04	+1.510449E+01
+5.349220E-01	-6.619859E-04	+1.525391E+01
+5.419183E-01	-6.531336E-04	+1.540332E+01
+5.489175E-01	-6.450393E-04	+1.555273E+01
+5.559143E-01	-6.383900E-04	+1.569336E+01
+5.629098E-01	-6.282575E-04	+1.583496E+01
+5.699096E-01	-6.184746E-04	+1.597559E+01
+5.769075E-01	-6.077242E-04	+1.612500E+01
+5.839031E-01	-5.945737E-04	+1.626660E+01
+5.909019E-01	-5.850759E-04	+1.640820E+01
+5.978983E-01	-5.700879E-04	+1.654980E+01
+6.048905E-01	-5.579029E-04	+1.669141E+01
+6.118897E-01	-5.425477E-04	+1.683301E+01
+6.188857E-01	-5.292120E-04	+1.697461E+01
+6.258831E-01	-5.128878E-04	+1.711621E+01
+6.328825E-01	-4.978905E-04	+1.725684E+01
+6.398807E-01	-4.802741E-04	+1.739941E+01
+6.468783E-01	-4.633981E-04	+1.754102E+01
+6.538736E-01	-4.441123E-04	+1.768262E+01
+6.608703E-01	-4.239333E-04	+1.782324E+01
+6.678669E-01	-4.039901E-04	+1.796484E+01
+6.748728E-01	-3.822428E-04	+1.811426E+01
+6.818760E-01	-3.603835E-04	+1.825488E+01
+6.888822E-01	-3.362837E-04	+1.839648E+01
+6.958880E-01	-3.115212E-04	+1.853711E+01
+7.028916E-01	-2.851508E-04	+1.867871E+01
+7.099013E-01	-2.584288E-04	+1.881934E+01
+7.169077E-01	-2.318773E-04	+1.895996E+01
+7.239084E-01	-2.007708E-04	+1.910938E+01
+7.309150E-01	-1.731020E-04	+1.925098E+01
+7.379169E-01	-1.410544E-04	+1.939160E+01
+7.449224E-01	-1.083544E-04	+1.953320E+01
+7.519178E-01	-7.384288E-05	+1.977441E+01
+7.589265E-01	-3.901631E-05	+1.991602E+01
+7.658969E-01	-1.598807E-08	+2.025488E+01
+7.729487E-01	+3.947106E-05	+2.058105E+01
+7.799596E-01	+7.744653E-05	+2.072266E+01
+7.869537E-01	+1.202650E-04	+2.104199E+01
+7.939587E-01	+1.609277E-04	+2.118359E+01
+8.009650E-01	+2.033644E-04	+2.132520E+01
+8.079672E-01	+2.465511E-04	+2.146777E+01
+8.149667E-01	+2.913682E-04	+2.160840E+01
+8.219630E-01	+3.366476E-04	+2.175000E+01
+8.289614E-01	+3.824568E-04	+2.189844E+01
+8.359604E-01	+4.301447E-04	+2.204004E+01
+8.429616E-01	+4.655833E-04	+2.218066E+01
+8.499587E-01	+5.180025E-04	+2.232227E+01
+8.569566E-01	+5.734227E-04	+2.247070E+01
+8.639549E-01	+6.296495E-04	+2.262109E+01
+8.709540E-01	+6.879014E-04	+2.277051E+01
+8.779505E-01	+7.472367E-04	+2.291113E+01
+8.849467E-01	+8.084741E-04	+2.305176E+01
+8.919438E-01	+8.710923E-04	+2.319336E+01
+8.989434E-01	+9.355610E-04	+2.334277E+01
+9.059397E-01	+1.001505E-03	+2.348340E+01
+9.129292E-01	+1.070240E-03	+2.371387E+01
+9.199282E-01	+1.138292E-03	+2.385449E+01
+9.269226E-01	+1.201143E-03	+2.399609E+01
+9.339210E-01	+1.275736E-03	+2.413672E+01
+9.409190E-01	+1.348167E-03	+2.427930E+01
+9.479247E-01	+1.422464E-03	+2.442090E+01
+9.549301E-01	+1.497155E-03	+2.456152E+01
+9.619367E-01	+1.572655E-03	+2.470312E+01
+9.689415E-01	+1.649828E-03	+2.485254E+01
+9.759497E-01	+1.727518E-03	+2.499414E+01
+9.829565E-01	+1.806486E-03	+2.513574E+01
+9.899608E-01	+1.886024E-03	+2.527734E+01
